site,Snail no.,survey,collection date,collected by,dissection date,dissected by ,processed by ,buried? ,length (mm),sex,"parth/ gonad state 1 (r,p,n)","parth/ gonad state 2 (r,p,n)","parth/ gonad state 3 (r,p,n)",early 1? ( y/n),early 2? (y/n),early 3? (y/n),trematode 1,trematode 2,trematode 3,fixed for genetics?,"crab dam (n,s,a)",MCs hima,cata,phil,notes
c6,22,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,27.1,f,r,,,,,,euha,,,,n,0,0,0,
c6,23,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,29.8,m,r,,,,,,cloa,,,,,,,,
c6,24,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",b,23.5,f,r,,,,,,euha,,,,,,,,
c6,25,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,9.2,m,n,,,,,,hima,,,,,,,,9.2 sic
c6,26,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",e,28,f,r,,,,,,euha,,,,,,,,
c6,27,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",e,24.1,f,r,,,n,y,,euha,hima,,,,,,,"HIMA invading, no cercs"
c6,28,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",e,26.9,f,r,,,,,,paro,,,,,,,,
c6,29,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",e,25,m,r,,,,,,hima,,,,,,,,
c6,30,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",e,25.9,m,r,,,,,,hima,,,,n,0,0,0,
c6,31,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",e,23.1,f,r,,,,,,hima,,,,,,,,
c6,32,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",e,19,m,n,,,,,,u,,,,,,,,
c6,33,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",e,29.3,m,n,,,,,,cloa,,,,n,0,0,0,
c6,34,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",e,23.5,m,n,,,,,,euha,,,,,,,,
c6,35,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",e,27.6,m,r,,,,,,cloa,,,,,,,,
c6,36,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,RH,"AW, TS, (RH)",e,29.8,m,r,,,,,,hima,,,,n,0,0,0,
c6,37,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",e,25.8,m,r,,,,,,euha,prob,,,,,,,EUHA invading
c6,38,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",e,24.1,m,n,,,,,,u,,,,,,,,
c6,39,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",e,27.2,f,r,,,,,,paro,,,,,,,,
c6,40,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",e,23.9,m,r,,,,,,euha,,,,a,0,0,0,
c6,41,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",e,25.6,f,r,,,,,,cloa,,,,,,,,no operc
c6,42,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,TS,"AW, TS, (RH)",e,24,f,n,,,,,,paro,,,,.,0,0,0,
c6,43,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,29.1,f,r,,,,,,euha,,,,.,0,0,0,
c6,44,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,28.1,m,r,,,,,,euha,,,,,,,,
c6,45,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,27.1,f,r,,,,,,euha,,,,,,,,
c6,46,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,30,m,r,,,,,,euha,,,,,,,,
c6,47,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,24.4,m,n,,,,,,euha,,,,.,0,0,0,
c6,48,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,22.4,m,r,,,,,,euha,,,,,,,,
c6,49,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,24.2,f,r,,,,,,u,,,,,,,,
c6,50,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,33.3,m,r,,,,,,stic,aust,,,,,,,
c6,51,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,12.9,m,n,,,,,,u,,,,n,0,0,0,
c6,52,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,28.4,m,n,,,,,,u,,,,n,.,.,.,
f5 (original),1,12-Feb,14-Feb-12,"TS, RH, AW",21-Feb-12,TS,"AW, TS",e,26.3,m,r,,,,,,u,,,,,,,,
f5 (original),2,12-Feb,14-Feb-12,"TS, RH, AW",21-Feb-12,TS,"AW, TS",e,25,m,r,,,,,,u,,,,,,,,
f5 (original),3,12-Feb,14-Feb-12,"TS, RH, AW",21-Feb-12,TS,"AW, TS",e,28.4,f,n,,,,,,euha,,,,,,,,
f5 (original),4,12-Feb,14-Feb-12,"TS, RH, AW",21-Feb-12,TS,"AW, TS",e,24.2,f,r,,,,,,paro,,,,n,0,0,0,1 PARO cerc encysting on operc.
f5 (original),5,12-Feb,14-Feb-12,"TS, RH, AW",21-Feb-12,TS,"AW, TS",e,27.5,m,n,,,,,,euha,,,,,,,,
f5 (original),6,12-Feb,14-Feb-12,"TS, RH, AW",21-Feb-12,TS,"AW, TS",e,26.1,m,n,,,,,,euha,,,,,,,,
f5 (original),7,12-Feb,14-Feb-12,"TS, RH, AW",21-Feb-12,TS,"AW, TS",e,31.5,f,r,,,,,,hima,,,,,,,,
f5 (original),8,12-Feb,14-Feb-12,"TS, RH, AW",21-Feb-12,TS,"AW, TS",b,29,f,r,,,,,,hima,,,,,,,,
f5 (original),9,12-Feb,14-Feb-12,"TS, RH, AW",21-Feb-12,TS,"AW, TS",b,29.7,f,r,,,,,,stic,,,,,,,,
f5 (original),10,12-Feb,14-Feb-12,"TS, RH, AW",21-Feb-12,TS,"AW, TS",b,28,f,r,,,,,,prob,,,,n,1,0,0,+2 scars (likely HIMA)
